A,217
ABLE,284
ACHE,443
ACT,433
ADZE,256
AGE,468
AH,330
AID,413
AIL,391
AIM,383
AIR,450
AISLE,528
ALE,526
ALL,332
AM,247
AN,195
AND,226
ANT,613
APE,616
APPLE,637
APT,295
ARC,494
ARCH,557
ARE,262
ARK,517
ARM,593
ART,493
AS,224
ASH,553
AT,225
ATE,364
AUNT,567
AWL,292
AXE,597
AYE,255
BABE,562
BACK,483
BAD,388
BADGE,519
BAG,570
BAIL,480
BAKE,495
BALE,473
BALL,622
BAND,579
BANG,470
BANK,560
BAR,596
BARB,448
BARD,406
BARE,487
BARK,539
BARN,589
BASE,436
BASS,544
BAT,586
BATH,601
BATTLE,597
BAWL,417
BAY,570
BE,274
BEACH,667
BEAK,574
BEAM,539
BEAN,538
BEAR,572
BEARD,630
BEAST,558
BEAT,406
BEAU,394
BED,635
BEE,623
BEECH,435
BEEF,625
BEEN,222
BEER,598
BEET,555
BEETLE,640
BEG,431
BEING,323
BELL,610
BELLE,401
BELT,494
BENCH,555
BEND,460
BERTH,402
BEST,324
BET,453
BHANG,217
BIB,488
BIBLE,594
BID,394
BIER,294
BIG,463
BILL,535
BIN,562
BIRCH,561
BIRD,614
BIRTH,532
BIT,432
BITE,553
BLACK,589
BLADE,568
BLAME,356
BLAND,348
BLEACH,510
BLEAK,435
BLEW,404
BLIND,485
BLINK,471
BLOCK,483
BLONDE,608
BLOOD,620
BLOOM,524
BLOUSE,595
BLOW,458
BLUE,569
BLUNT,404
BLUSH,551
BOAR,524
BOARD,592
BOAST,416
BOAT,631
BOIL,533
BOLE,213
BOLL,270
BOLT,551
BOMB,606
BOND,380
BONE,567
BOOK,591
BOOT,604
BOOTH,486
BORE,404
BORN,435
BORNE,346
BOSS,554
BOTH,298
BOTTLE,619
BOW,546
BOWL,579
BOX,591
BOY,618
BRA,624
BRAIN,572
BRAKE,511
BRANCH,548
BRASS,524
BRAT,536
BRAVE,427
BRAWL,485
BREAD,619
BREAK,398
BREAST,597
BREATH,480
BRED,387
BREEZE,560
BRIBE,425
BRICK,574
BRIDGE,608
BRIEF,344
BRIGHT,489
BRIM,510
BROAD,463
BROIL,515
BROKE,485
BRONZE,588
BROOK,597
BROOM,608
BRUSH,570
BRUT,392
BRUTE,481
BUD,508
BUILD,399
BUMP,476
BUNCH,486
BURN,541
BUSH,549
BUT,206
BUY,397
BY,229
CACHE,303
CAGE,585
CAKE,624
CALF,565
CALL,424
CALM,439
CAME,288
CAMP,588
CAN,369
CANE,608
CAPE,566
CAR,638
CARD,578
CARE,383
CARP,539
CART,597
CASE,517
CASH,588
CAST,483
CASTE,423
CAT,617
CATTLE,619
CAUGHT,401
CAUL,188
CAUSE,282
CAVE,601
CEDE,240
CELL,590
CENT,518
CHAIN,559
CHAIR,610
CHALK,601
CHANCE,354
CHARM,455
CHART,531
CHEAT,457
CHEEK,561
CHEESE,592
CHEST,556
CHEW,527
CHIC,437
CHIEF,545
CHILD,619
CHIN,608
CHINK,429
CHOIR,567
CHOOSE,299
CHOP,575
CHOW,326
CHROME,491
CHUCKLE,497
CHURCH,616
CHUTE,467
CINQUE,239
CITE,331
CLAIM,321
CLAM,541
CLANG,445
CLASH,456
CLASP,456
CLAW,600
CLAY,575
CLEAN,454
CLEAR,456
CLEAT,481
CLIENT,443
CLIFF,599
CLINCH,423
CLINK,472
CLOAK,518
CLOCK,614
CLOSE,420
CLOTH,547
CLOUD,595
CLOVE,446
CLOWN,589
CLUB,522
CLUE,375
CLUNG,354
COACH,560
COAL,581
COARSE,494
COAST,588
COAT,572
COCK,586
CODE,460
COIF,202
COIL,492
COIN,603
COKE,623
COLD,531
COME,322
CONE,559
COOK,504
COOL,429
COPE,344
CORD,549
CORE,497
CORK,631
CORN,601
CORPS,408
CORPSE,614
CORSE,183
COST,401
COUCH,536
COULD,210
COUNT,459
COURSE,391
COURT,552
COW,632
COWL,337
CRAB,589
CRAFT,429
CRAG,479
CRANE,562
CRANK,524
CRAWL,488
CREAM,557
CREW,486
CRIME,471
CROAK,445
CROCK,351
CROOK,526
CROSS,501
CROW,578
CROWD,548
CROWN,602
CRUEL,422
CRUMB,497
CRUSH,480
CRY,478
CRYPT,553
CUBE,575
CUE,448
CULT,386
CUP,558
CURB,556
CURE,397
CURSE,415
CURVE,520
CUT,460
CUTTLE,213
CYST,510
DAD,626
DAME,530
DANCE,510
DARE,373
DARK,586
DART,597
DATE,501
DAWN,586
DAY,526
DEAD,520
DEAL,383
DEAR,374
DEATH,498
DEBT,384
DECK,539
DEED,390
DEEP,498
DEER,624
DELL,397
DENSE,461
DENT,486
DESK,574
DEW,559
DIAL,541
DID,329
DIE,499
DIM,450
DIME,590
DIP,456
DIRGE,262
DIRT,547
DISC,575
DITCH,558
DIVE,586
DO,247
DOCK,559
DOE,532
DOES,210
DOG,636
DOLL,565
DOLT,259
DOME,557
DONE,346
DOOR,599
DOT,556
DOUGH,558
DOVE,616
DOWN,459
DRAB,340
