ace,15,3,As,2,0
ache,4,4,Ak,2,0
act,283,3,@kt,3,0
add,88,3,@d,2,0
ade,1,3,Ad,2,0
aft,5,3,@ft,3,0
age,227,3,Aj,2,0
aid,130,3,Ad,2,0
aide,9,4,Ad,2,0
ail,1,3,Al,2,0
aim,37,3,Am,2,0
air,257,3,Ar,2,0
aisle,6,5,Il,2,0
ale,1,3,Al,2,0
all,3001,3,ol,2,0
alps,1,4,@lps,4,0
and,28852,3,@nd,3,0
angst,1,5,@Nst,4,0
ant,6,3,@nt,3,0
ape,3,3,Ap,2,0
apt,15,3,@pt,3,0
arc,41,3,ark,3,0
arch,13,4,arC,3,0
are,4393,3,ar,2,0
arm,94,3,arm,3,0
art,208,3,art,3,0
ash,11,3,@S,2,0
ask,128,3,@sk,3,0
ass,5,3,@s,2,0
ate,16,3,At,2,0
aunt,22,4,@nt,3,0
awn,1,3,on,2,0
axe,6,3,@ks,3,0
babe,8,4,bAb,3,0
back,967,4,b@k,3,0
bad,142,3,b@d,3,0
bade,1,4,bAd,3,0
badge,5,5,b@j,3,0
bag,42,3,b@g,3,0
bail,7,4,bAl,3,0
bait,2,4,bAt,3,0
bake,12,4,bAk,3,0
bakes,1,5,bAks,4,0
bald,5,4,bold,4,0
bale,5,4,bAl,3,0
balk,1,4,bok,3,0
ball,110,4,bol,3,0
ban,7,3,b@n,3,0
band,53,4,b@nd,4,0
bane,1,4,bAn,3,0
bang,7,4,b@N,3,0
bank,83,4,b@Nk,4,0
bar,82,3,bar,3,0
bard,3,4,bard,4,0
bare,29,4,bAr,3,0
barge,7,5,barj,4,0
bark,14,4,bark,4,0
barn,29,4,barn,4,0
barre,1,5,bar,3,0
bas,1,3,ba,2,0
base,91,4,bAs,3,0
bash,1,4,b@S,3,0
bask,1,4,b@sk,4,0
bass,8,4,bAs,3,0
bass,8,4,b@s,3,1
baste,1,5,bAst,4,0
bat,18,3,b@t,3,0
batch,5,5,b@C,3,0
bate,1,4,bAt,3,0
bath,26,4,b@T,3,0
bathe,4,5,bAD,3,0
bay,57,3,bA,2,0
beach,61,5,bEC,3,0
bead,1,4,bEd,3,0
beak,1,4,bEk,3,0
beam,21,4,bEm,3,0
bean,5,4,bEn,3,0
bear,57,4,bAr,3,0
beard,26,5,bErd,4,0
beast,7,5,bEst,4,0
beat,68,4,bEt,3,0
beau,2,4,bO,2,0
beck,1,4,bek,3,0
bed,127,3,bed,3,0
bee,11,3,bE,2,0
beech,6,5,bEC,3,0
beef,32,4,bEf,3,0
beek,1,4,bEk,3,0
been,2472,4,bin,3,0
beep,1,4,bEp,3,0
beer,34,4,bEr,3,0
beet,1,4,bEt,3,0
beg,11,3,beg,3,0
beige,1,5,bAZ,3,0
belch,2,5,belC,4,0
bell,18,4,bel,3,0
belle,1,5,bel,3,0
belt,29,4,belt,4,0
bench,35,5,benC,4,0
bend,24,4,bend,4,0
bent,34,4,bent,4,0
berth,4,5,burT,4,0
best,351,4,best,4,0
bet,20,3,bet,3,0
bib,2,3,bib,3,0
bid,22,3,bid,3,0
bide,1,4,bId,3,0
big,360,3,big,3,0
bike,1,4,bIk,3,0
bile,3,4,bIl,3,0
bilge,2,5,bilj,4,0
bill,143,4,bil,3,0
bin,9,3,bin,3,0
bind,4,4,bInd,4,0
bing,2,4,biN,3,0
binge,1,5,binj,4,0
birch,2,5,burC,4,0
bird,31,4,burd,4,0
birth,66,5,burT,4,0
bit,101,3,bit,3,0
bitch,6,5,biC,3,0
bite,10,4,bIt,3,0
black,203,5,bl@k,4,0
blade,13,5,blAd,4,0
blame,34,5,blAm,4,0
blanch,1,6,bl@nC,5,0
bland,3,5,bl@nd,5,0
blank,14,5,bl@Nk,5,0
blare,1,5,blAr,4,0
blast,15,5,bl@st,5,0
blaze,7,5,blAz,4,0
bleach,1,6,blEC,4,0
bleak,10,5,blEk,4,0
bleat,1,5,blEt,4,0
bled,3,4,bled,4,0
bleed,2,5,blEd,4,0
bleep,1,5,blEp,4,0
blend,9,5,blend,5,0
bless,9,5,bles,4,0
blest,3,5,blest,5,0
blew,12,4,blU,3,0
blight,2,6,blIt,4,0
blimp,1,5,blimp,5,0
blind,47,5,blInd,5,0
blink,4,5,bliNk,5,0
bliss,4,5,blis,4,0
blithe,2,6,blID,4,0
